Competitor Component Name (279),Competitor CVEs,Confidence,Sonatype Component Name (1108),Sonatype CVEs,Sonatype Occurence Path
has-symbols:1.0.1,snyk:lic:npm:has-symbols:MIT,10,has-symbols:1.0.1,,./node_modules/has-symbols/.eslintrc
has-value:0.3.1,snyk:lic:npm:has-value:MIT,10,has-value:0.3.1,,./node_modules/unset-value/node_modules/has-value/index.js
has-values:0.1.4,snyk:lic:npm:has-values:MIT,10,has-values:0.1.4,,./node_modules/unset-value/node_modules/has-values/index.js
has:1.0.3,snyk:lic:npm:has:MIT,10,has:1.0.3,,./node_modules/has/package.json
helmet-csp:1.2.2,"SNYK-JS-HELMETCSP-469436, snyk:lic:npm:helmet-csp:MIT",10,helmet-csp:1.2.2,sonatype-2019-0410,./node_modules/helmet-csp/index.js
helmet:2.3.0,snyk:lic:npm:helmet:MIT,10,helmet:2.3.0,,./node_modules/helmet/config.json
hide-powered-by:1.0.0,snyk:lic:npm:hide-powered-by:MIT,10,hide-powered-by:1.0.0,,./node_modules/hide-powered-by/index.js
hpkp:1.2.0,snyk:lic:npm:hpkp:MIT,10,hpkp:1.2.0,,./node_modules/hpkp/index.js
hsts:1.0.0,snyk:lic:npm:hsts:MIT,10,hsts:1.0.0,,./node_modules/hsts/index.js
http-errors:1.5.1,snyk:lic:npm:http-errors:MIT,10,http-errors:1.5.1,,./node_modules/csurf/node_modules/http-errors/index.js
i:0.3.6,"snyk:lic:npm:i:MIT, SNYK-JS-I-1726768",10,i:0.3.6,CVE-2021-3820,./node_modules/i/lib/defaults.js
iconv-lite:0.4.23,snyk:lic:npm:iconv-lite:MIT,10,iconv-lite:0.4.23,,./node_modules/iconv-lite/encodings/dbcs-codec.js
ienoopen:1.0.0,snyk:lic:npm:ienoopen:MIT,10,ienoopen:1.0.0,,./node_modules/ienoopen/index.js
ini:1.3.5,SNYK-JS-INI-1048974,10,ini:1.3.5,sonatype-2020-1214,./node_modules/ini/ini.js
invert-kv:1.0.0,snyk:lic:npm:invert-kv:MIT,10,invert-kv:1.0.0,,./node_modules/invert-kv/index.js
ipaddr.js:1.8.0,snyk:lic:npm:ipaddr.js:MIT,10,ipaddr.js:1.8.0,,./node_modules/ipaddr.js/ipaddr.min.js
is-accessor-descriptor:0.1.6,snyk:lic:npm:is-accessor-descriptor:MIT,10,is-accessor-descriptor:0.1.6,,./node_modules/is-accessor-descriptor/index.js
is-arguments:1.0.4,snyk:lic:npm:is-arguments:MIT,10,is-arguments:1.0.4,,./node_modules/is-arguments/.editorconfig
is-bigint:1.0.0,snyk:lic:npm:is-bigint:MIT,10,is-bigint:1.0.0,,./node_modules/is-bigint/.editorconfig
is-binary-path:1.0.1,snyk:lic:npm:is-binary-path:MIT,10,is-binary-path:1.0.1,,./node_modules/is-binary-path/index.js
is-boolean-object:1.0.1,snyk:lic:npm:is-boolean-object:MIT,10,is-boolean-object:1.0.1,,./node_modules/is-boolean-object/.eslintrc
is-buffer:1.1.6,snyk:lic:npm:is-buffer:MIT,10,is-buffer:1.1.6,,./node_modules/is-buffer/index.js
is-callable:1.1.5,snyk:lic:npm:is-callable:MIT,10,is-callable:1.1.5,,./node_modules/is-callable/.editorconfig
is-data-descriptor:0.1.4,snyk:lic:npm:is-data-descriptor:MIT,10,is-data-descriptor:0.1.4,,./node_modules/is-data-descriptor/index.js
is-date-object:1.0.2,snyk:lic:npm:is-date-object:MIT,10,is-date-object:1.0.2,,./node_modules/is-date-object/.eslintrc
is-descriptor:0.1.6,snyk:lic:npm:is-descriptor:MIT,10,is-descriptor:0.1.6,,./node_modules/is-descriptor/index.js
is-extendable:0.1.1,snyk:lic:npm:is-extendable:MIT,10,is-extendable:0.1.1,,./node_modules/is-extendable/index.js
is-extglob:2.1.1,snyk:lic:npm:is-extglob:MIT,10,is-extglob:2.1.1,,./node_modules/is-extglob/index.js
is-fullwidth-code-point:1.0.0,snyk:lic:npm:is-fullwidth-code-point:MIT,10,is-fullwidth-code-point:1.0.0,,./node_modules/is-fullwidth-code-point/index.js
is-glob:3.1.0,snyk:lic:npm:is-glob:MIT,10,is-glob:3.1.0,,./node_modules/glob-parent/node_modules/is-glob/index.js
is-map:2.0.1,snyk:lic:npm:is-map:MIT,10,is-map:2.0.1,,./node_modules/is-map/.eslintrc
is-number-object:1.0.4,snyk:lic:npm:is-number-object:MIT,10,is-number-object:1.0.4,,./node_modules/is-number-object/.eslintrc
is-number:3.0.0,snyk:lic:npm:is-number:MIT,10,is-number:3.0.0,,./node_modules/has-values/node_modules/is-number/index.js
is-plain-object:2.0.4,snyk:lic:npm:is-plain-object:MIT,10,is-plain-object:2.0.4,,./node_modules/is-plain-object/index.d.ts
is-regex:1.0.5,snyk:lic:npm:is-regex:MIT,10,is-regex:1.0.5,,./node_modules/is-regex/.eslintrc
is-set:2.0.1,snyk:lic:npm:is-set:MIT,10,is-set:2.0.1,,./node_modules/is-set/.eslintrc
is-string:1.0.5,snyk:lic:npm:is-string:MIT,10,is-string:1.0.5,,./node_modules/is-string/.eslintrc
