Component,issue.title,issue.id,,,,,,,
rc:1.2.8,"Multiple licenses: BSD-2-Clause, MIT, Apache-2.0",snyk:lic:npm:rc:(BSD-2-Clause_OR_MIT_OR_Apache-2.0),,,,,,,
readable-stream:2.2.7,MIT license,snyk:lic:npm:readable-stream:MIT,,,,,,,
readdirp:2.2.1,MIT license,snyk:lic:npm:readdirp:MIT,,,,,,,
referrer-policy:1.0.0,MIT license,snyk:lic:npm:referrer-policy:MIT,,,,,,,
regex-not:1.0.2,MIT license,snyk:lic:npm:regex-not:MIT,,,,,,,
regexp.prototype.flags:1.3.0,MIT license,snyk:lic:npm:regexp.prototype.flags:MIT,,,,,,,
repeat-element:1.1.3,MIT license,snyk:lic:npm:repeat-element:MIT,,,,,,,
repeat-string:1.6.1,MIT license,snyk:lic:npm:repeat-string:MIT,,,,,,,
require_optional:1.0.1,Apache-2.0 license,snyk:lic:npm:require_optional:Apache-2.0,,,,,,,
resolve-from:2.0.0,MIT license,snyk:lic:npm:resolve-from:MIT,,,,,,,
resolve-url:0.2.1,MIT license,snyk:lic:npm:resolve-url:MIT,,,,,,,
resumer:0.0.0,MIT license,snyk:lic:npm:resumer:MIT,,,,,,,
ret:0.1.15,MIT license,snyk:lic:npm:ret:MIT,,,,,,,
revalidator:0.1.8,Apache-2.0 license,snyk:lic:npm:revalidator:Apache-2.0,,,,sonatype-2020-1452,,,
rndm:1.2.0,MIT license,snyk:lic:npm:rndm:MIT,,,,,,,
safe-buffer:5.1.1,MIT license,snyk:lic:npm:safe-buffer:MIT,,,,,,,
safe-regex:1.1.0,MIT license,snyk:lic:npm:safe-regex:MIT,,,,,,,
safer-buffer:2.1.2,MIT license,snyk:lic:npm:safer-buffer:MIT,,,,,,,
secure-keys:1.0.0,MIT license,snyk:lic:npm:secure-keys:MIT,,,,,,,
send:0.16.2,MIT license,snyk:lic:npm:send:MIT,,,,,,,
serve-favicon:2.5.0,MIT license,snyk:lic:npm:serve-favicon:MIT,,,,,,,
serve-static:1.13.2,MIT license,snyk:lic:npm:serve-static:MIT,,,,,,,
set-value:0.4.3,MIT license,snyk:lic:npm:set-value:MIT,,,,,,,
set-value:0.4.3,Prototype Pollution,SNYK-JS-SETVALUE-1540541,,,,,,,
set-value:0.4.3,Prototype Pollution,SNYK-JS-SETVALUE-450213,,,,,,,
shush:1.0.0,MIT license,snyk:lic:npm:shush:MIT,,,,,,,
side-channel:1.0.2,MIT license,snyk:lic:npm:side-channel:MIT,,,,,,,
snapdragon-node:2.1.1,MIT license,snyk:lic:npm:snapdragon-node:MIT,,,,,,,
snapdragon-util:3.0.1,MIT license,snyk:lic:npm:snapdragon-util:MIT,,,,,,,
snapdragon:0.8.2,MIT license,snyk:lic:npm:snapdragon:MIT,,,,,,,
source-map-resolve:0.5.2,MIT license,snyk:lic:npm:source-map-resolve:MIT,,,,,,,
source-map-url:0.4.0,MIT license,snyk:lic:npm:source-map-url:MIT,,,,,,,
source-map:0.1.34,BSD-2-Clause license,snyk:lic:npm:source-map:BSD-2-Clause,,,,,,,
split-string:3.1.0,MIT license,snyk:lic:npm:split-string:MIT,,,,,,,
stack-trace:0.0.10,MIT license,snyk:lic:npm:stack-trace:MIT,,,,,,,
static-extend:0.1.2,MIT license,snyk:lic:npm:static-extend:MIT,,,,,,,
statuses:1.4.0,MIT license,snyk:lic:npm:statuses:MIT,,,,,,,
string_decoder:1.0.3,MIT license,snyk:lic:npm:string_decoder:MIT,,,,,,,
string-width:1.0.2,MIT license,snyk:lic:npm:string-width:MIT,,,,,,,
string.prototype.trimend:1.0.0,MIT license,snyk:lic:npm:string.prototype.trimend:MIT,,,,,,,
string.prototype.trimleft:2.1.2,MIT license,snyk:lic:npm:string.prototype.trimleft:MIT,,,,,,,
string.prototype.trimright:2.1.2,MIT license,snyk:lic:npm:string.prototype.trimright:MIT,,,,,,,
string.prototype.trimstart:1.0.0,MIT license,snyk:lic:npm:string.prototype.trimstart:MIT,,,,,,,
strip-ansi:3.0.1,MIT license,snyk:lic:npm:strip-ansi:MIT,,,,,,,
strip-json-comments:0.1.3,MIT license,snyk:lic:npm:strip-json-comments:MIT,,,,,,,
swig:1.4.2,MIT license,snyk:lic:npm:swig:MIT,,,,,,,
tape:2.3.3,MIT license,snyk:lic:npm:tape:MIT,,,,,,,
tar:4.4.8,Arbitrary File Overwrite,SNYK-JS-TAR-1536528,,CVE-2021-32803,S(2.2.1),CVE-2021-32804,,,
tar:4.4.8,Arbitrary File Overwrite,SNYK-JS-TAR-1536531,,CVE-2021-32804,,,,,
tar:4.4.8,Arbitrary File Write,SNYK-JS-TAR-1579147,,CVE-2021-37701,,,,,
tar:4.4.8,Arbitrary File Write,SNYK-JS-TAR-1579152,,CVE-2021-37712,,,,,
tar:4.4.8,Arbitrary File Write,SNYK-JS-TAR-1579155,,CVE-2021-37713,,,,,
tar:4.4.8,Regular Expression Denial of Service (ReDoS),SNYK-JS-TAR-1536758,,#####,,,,,
through:2.3.8,MIT license,snyk:lic:npm:through:MIT,,,,,,,
to-object-path:0.3.0,MIT license,snyk:lic:npm:to-object-path:MIT,,,,,,,
to-regex-range:2.1.1,MIT license,snyk:lic:npm:to-regex-range:MIT,,,,,,,
to-regex:3.0.2,MIT license,snyk:lic:npm:to-regex:MIT,,,,,,,
tsscmp:1.0.5,MIT license,snyk:lic:npm:tsscmp:MIT,,,,,,,
type-is:1.6.16,MIT license,snyk:lic:npm:type-is:MIT,,,,,,,
uglify-js:2.4.24,BSD-2-Clause license,snyk:lic:npm:uglify-js:BSD-2-Clause,,,,,,,
uglify-js:2.4.24,Regular Expression Denial of Service (ReDoS),npm:uglify-js:20151024,,CVE-2015-8858,<=,sonatype-2015-0010,,,
uglify-to-browserify:1.0.2,MIT license,snyk:lic:npm:uglify-to-browserify:MIT,,,,,,,
uid-safe:2.1.4,MIT license,snyk:lic:npm:uid-safe:MIT,,,,,,,
underscore:1.9.1,Arbitrary Code Injection,SNYK-JS-UNDERSCORE-1080984,,CVE-2021-23358,not S(1.3.3 & 1.8.3),,,,
underscore:1.9.1,MIT license,snyk:lic:npm:underscore:MIT,,,,,,,
union-value:1.0.0,MIT license,snyk:lic:npm:union-value:MIT,,,,sonatype-2021-0469,,,
unpipe:1.0.0,MIT license,snyk:lic:npm:unpipe:MIT,,,,,,,
unset-value:1.0.0,MIT license,snyk:lic:npm:unset-value:MIT,,,,,,,
upath:1.1.2,MIT license,snyk:lic:npm:upath:MIT,,,,,,,
urix:0.1.0,MIT license,snyk:lic:npm:urix:MIT,,,,,,,
use:3.1.1,MIT license,snyk:lic:npm:use:MIT,,,,,,,
util-deprecate:1.0.2,MIT license,snyk:lic:npm:util-deprecate:MIT,,,,,,,
utile:0.2.1,MIT license,snyk:lic:npm:utile:MIT,,,,,,,
utile:0.2.1,Uninitialized Memory Exposure,npm:utile:20180614,,#####,S(+0.3.0),sonatype-2018-0208,,,
utils-merge:1.0.0,MIT license,snyk:lic:npm:utils-merge:MIT,,,,,,,
vary:1.1.2,MIT license,snyk:lic:npm:vary:MIT,,,,,,,
which-boxed-primitive:1.0.1,MIT license,snyk:lic:npm:which-boxed-primitive:MIT,,,,,,,
which-collection:1.0.1,MIT license,snyk:lic:npm:which-collection:MIT,,,,,,,
which-typed-array:1.1.1,MIT license,snyk:lic:npm:which-typed-array:MIT,,,,,,,
window-size:0.1.0,MIT license,snyk:lic:npm:window-size:MIT,,,,,,,
winston:0.8.0,MIT license,snyk:lic:npm:winston:MIT,,,,,,,
wordwrap:0.0.3,MIT license,snyk:lic:npm:wordwrap:MIT,,,,,,,
wrap-ansi:2.1.0,MIT license,snyk:lic:npm:wrap-ansi:MIT,,,,,,,
x-xss-protection:1.0.0,MIT license,snyk:lic:npm:x-xss-protection:MIT,,,,,,,
y18n:3.2.1,Prototype Pollution,SNYK-JS-Y18N-1021887,,CVE-2020-7774,<=,sonatype-2020-1040,,,
yargs:3.32.0,MIT license,snyk:lic:npm:yargs:MIT,,,,,,,
