Competitor Component Name (1890),Competitor CVEs,Confidence,Sonatype Component Name (3279),Sonatype CVEs,Sonatype Occurence Path
iron-a11y-announcer:3.0.2,,10,@polymer/iron-a11y-announcer:3.0.2,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-a11y-announcer@3.0.2
iron-a11y-keys-behavior:3.0.1,,10,@polymer/iron-a11y-keys-behavior:3.0.1,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-a11y-keys-behavior@3.0.1
iron-fit-behavior:3.0.2,,10,@polymer/iron-fit-behavior:3.0.2,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-fit-behavior@3.0.2
iron-flex-layout:3.0.1,,10,@polymer/iron-flex-layout:3.0.1,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-flex-layout@3.0.1
iron-icon:3.0.1,,10,@polymer/iron-icon:3.0.1,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-icon@3.0.1
iron-iconset-svg:3.0.1,,10,@polymer/iron-iconset-svg:3.0.1,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-iconset-svg@3.0.1
iron-list:3.1.0,,10,@polymer/iron-list:3.1.0,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-list@3.1.0
iron-media-query:3.0.1,,10,@polymer/iron-media-query:3.0.1,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-media-query@3.0.1
iron-meta:3.0.1,,10,@polymer/iron-meta:3.0.1,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-meta@3.0.1
iron-overlay-behavior:3.0.3,,10,@polymer/iron-overlay-behavior:3.0.3,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-overlay-behavior@3.0.3
iron-resizable-behavior:3.0.1,,10,@polymer/iron-resizable-behavior:3.0.1,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-resizable-behavior@3.0.1
iron-scroll-target-behavior:3.0.1,,10,@polymer/iron-scroll-target-behavior:3.0.1,,sonatype-build.spdx.json/pkg:npm\%40polymer\iron-scroll-target-behavior@3.0.1
polymer:3.1.0,,10,@polymer/polymer:3.1.0,,sonatype-build.spdx.json/pkg:npm\%40polymer\polymer@3.1.0
polymer:3.2.0,,10,@polymer/polymer:3.2.0,,sonatype-build.spdx.json/pkg:npm\%40polymer\polymer@3.2.0
extras:1.15.11,,10,@quasar/extras:1.15.11,,sonatype-build.spdx.json/pkg:npm\%40quasar\extras@1.15.11
extras:1.16.12,,10,@quasar/extras:1.16.12,,sonatype-build.spdx.json/pkg:npm\%40quasar\extras@1.16.12
commons:1.8.6,,10,@sinonjs/commons:1.8.6,,sonatype-build.spdx.json/pkg:npm\%40sinonjs\commons@1.8.6
fake-timers:8.1.0,,10,@sinonjs/fake-timers:8.1.0,,sonatype-build.spdx.json/pkg:npm\%40sinonjs\fake-timers@8.1.0
once:1.1.2,,10,@tootallnate/once:1.1.2,,sonatype-build.spdx.json/pkg:npm\%40tootallnate\once@1.1.2
babel__core:7.20.5,,10,@types/babel__core:7.20.5,,sonatype-build.spdx.json/pkg:npm\%40types\babel__core@7.20.5
babel__generator:7.6.8,,10,@types/babel__generator:7.6.8,,sonatype-build.spdx.json/pkg:npm\%40types\babel__generator@7.6.8
babel__template:7.4.4,,10,@types/babel__template:7.4.4,,sonatype-build.spdx.json/pkg:npm\%40types\babel__template@7.4.4
babel__traverse:7.20.6,,10,@types/babel__traverse:7.20.6,,sonatype-build.spdx.json/pkg:npm\%40types\babel__traverse@7.20.6
graceful-fs:4.1.9,,10,@types/graceful-fs:4.1.9,,sonatype-build.spdx.json/pkg:npm\%40types\graceful-fs@4.1.9
istanbul-lib-coverage:2.0.6,,10,@types/istanbul-lib-coverage:2.0.6,,sonatype-build.spdx.json/pkg:npm\%40types\istanbul-lib-coverage@2.0.6
istanbul-lib-report:3.0.3,,10,@types/istanbul-lib-report:3.0.3,,sonatype-build.spdx.json/pkg:npm\%40types\istanbul-lib-report@3.0.3
istanbul-reports:3.0.4,,10,@types/istanbul-reports:3.0.4,,sonatype-build.spdx.json/pkg:npm\%40types\istanbul-reports@3.0.4
jest:27.5.2,,10,@types/jest:27.5.2,,sonatype-build.spdx.json/pkg:npm\%40types\jest@27.5.2
node:22.5.0,,10,@types/node:22.5.0,,sonatype-build.spdx.json/pkg:npm\%40types\node@22.5.0
prettier:2.7.3,,10,@types/prettier:2.7.3,,sonatype-build.spdx.json/pkg:npm\%40types\prettier@2.7.3
proj4:2.5.5,,10,@types/proj4:2.5.5,,sonatype-build.spdx.json/pkg:npm\%40types\proj4@2.5.5
retry:0.12.0,,10,@types/retry:0.12.0,,sonatype-build.spdx.json/pkg:npm\%40types\retry@0.12.0
stack-utils:2.0.3,,10,@types/stack-utils:2.0.3,,sonatype-build.spdx.json/pkg:npm\%40types\stack-utils@2.0.3
yargs-parser:21.0.3,,10,@types/yargs-parser:21.0.3,,sonatype-build.spdx.json/pkg:npm\%40types\yargs-parser@21.0.3
yargs:16.0.9,,10,@types/yargs:16.0.9,,sonatype-build.spdx.json/pkg:npm\%40types\yargs@16.0.9
vaadin-avatar:1.0.4,,10,@vaadin/vaadin-avatar:1.0.4,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-avatar@1.0.4
vaadin-button:2.4.0,,10,@vaadin/vaadin-button:2.4.0,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-button@2.4.0
vaadin-checkbox:2.5.1,,10,@vaadin/vaadin-checkbox:2.5.1,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-checkbox@2.5.1
vaadin-control-state-mixin:2.2.6,,10,@vaadin/vaadin-control-state-mixin:2.2.6,,sonatype-build.spdx.json/pkg:npm\%40vaadin\vaadin-control-state-mixin@2.2.6
