Competitor Component Name (1605),Competitor CVEs,Confidence,Sonatype Component Name (1466),Sonatype CVEs,Sonatype Occurence Path
@cnakazawa/watch:1.0.4,,10,@cnakazawa/watch:1.0.4,,./yarn.lock/@cnakazawa\watch:1.0.4
@egjs/hammerjs:2.0.17,,10,@egjs/hammerjs:2.0.17,,./yarn.lock/@egjs\hammerjs:2.0.17
@hapi/address:2.1.4,,10,@hapi/address:2.1.4,,./yarn.lock/@hapi\address:2.1.4
@hapi/bourne:1.3.2,,10,@hapi/bourne:1.3.2,,./yarn.lock/@hapi\bourne:1.3.2
@hapi/hoek:8.5.1,,10,@hapi/hoek:8.5.1,,./yarn.lock/@hapi\hoek:8.5.1
@hapi/joi:15.1.1,,10,@hapi/joi:15.1.1,,./yarn.lock/@hapi\joi:15.1.1
@hapi/topo:3.1.6,,10,@hapi/topo:3.1.6,,./yarn.lock/@hapi\topo:3.1.6
@jest/console:24.9.0,,10,@jest/console:24.9.0,,./yarn.lock/@jest\console:24.9.0
@jest/fake-timers:24.9.0,,10,@jest/fake-timers:24.9.0,,./yarn.lock/@jest\fake-timers:24.9.0
@jest/source-map:24.9.0,,10,@jest/source-map:24.9.0,,./yarn.lock/@jest\source-map:24.9.0
@jest/test-result:24.9.0,,10,@jest/test-result:24.9.0,,./yarn.lock/@jest\test-result:24.9.0
@jest/types:24.9.0,,10,@jest/types:24.9.0,,./yarn.lock/@jest\types:24.9.0
@jest/types:25.2.6,,10,@jest/types:25.2.6,,./yarn.lock/@jest\types:25.2.6
@jest/types:25.5.0,,10,@jest/types:25.5.0,,./yarn.lock/@jest\types:25.5.0
@miblanchard/react-native-slider:1.5.0,,10,@miblanchard/react-native-slider:1.5.0,,./yarn.lock/@miblanchard\react-native-slider:1.5.0
@mrmlnc/readdir-enhanced:2.2.1,,10,@mrmlnc/readdir-enhanced:2.2.1,,./yarn.lock/@mrmlnc\readdir-enhanced:2.2.1
@nodelib/fs.stat:1.1.2,,10,@nodelib/fs.stat:1.1.2,,./yarn.lock/@nodelib\fs.stat:1.1.2
@nodelib/fs.stat:1.1.3,,10,@nodelib/fs.stat:1.1.3,,./yarn.lock/@nodelib\fs.stat:1.1.3
@react-native-async-storage/async-storage:1.15.8,,10,@react-native-async-storage/async-storage:1.15.8,,./yarn.lock/@react-native-async-storage\async-storage:1.15.8
