Competitor Component Name (4),Competitor CVEs,Confidence,Sonatype Component Name (552),Sonatype CVEs,Sonatype Occurence Path
,,,Cython:(cp37-cp37m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp37-cp37m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64:d5ef2dc749c7bfb5d8b1
,,,Cython:(cp37-cp37m-manylinux1_i686):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp37-cp37m-manylinux1_i686:81504400458ef72374c7
,,,Cython:(cp37-cp37m-manylinux1_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp37-cp37m-manylinux1_x86_64:fc751822e12a6559ec1b
,,,Cython:(cp37-cp37m-win32):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp37-cp37m-win32:90e055589b87ee415e82
,,,Cython:(cp37-cp37m-win_amd64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp37-cp37m-win_amd64:bd20262a8e079fd407bd
,,,Cython:(cp38-cp38-manylinux1_i686):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp38-cp38-manylinux1_i686:b1da1639181069742ed4
,,,Cython:(cp38-cp38-manylinux1_x86_64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp38-cp38-manylinux1_x86_64:f12f9fee08b4af9e6d36
,,,Cython:(cp38-cp38-win32):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp38-cp38-win32:2a8216ec5e3c68c7bee3
,,,Cython:(cp38-cp38-win_amd64):0.29.14:(.whl),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=whl&qualifier=cp38-cp38-win_amd64:c240b0b03a88bf9a4738
,,,Cython:0.29.14:(.tar.gz),,Tusimple-bom.xml/pkg:pypi\cython@0.29.14?extension=tar.gz:f86f2dddde3cc7499cb4
,,,Flask-Caching:(py3-none-any):1.10.1:(.whl),CVE-2021-33026,Tusimple-bom.xml/pkg:pypi\flask-caching@1.10.1?extension=whl&qualifier=py3-none-any:d118bdfe337bd4269596
,,,Flask-Caching:1.10.1:(.tar.gz),CVE-2021-33026,Tusimple-bom.xml/pkg:pypi\flask-caching@1.10.1?extension=tar.gz:1166800ef67022b07bc7
,,,Flask-Cors:(py2.py3-none-any):3.0.8:(.whl),CVE-2020-25032,Tusimple-bom.xml/pkg:pypi\flask-cors@3.0.8?extension=whl&qualifier=py2.py3-none-any:f50e268b3287e62d4608
,,,Flask-Cors:3.0.8:(.tar.gz),CVE-2020-25032,Tusimple-bom.xml/pkg:pypi\flask-cors@3.0.8?extension=tar.gz:63e254d5a2052328ae3d
,,,Flask-Sockets:(py2.py3-none-any):0.2.1:(.whl),,Tusimple-bom.xml/pkg:pypi\flask-sockets@0.2.1?extension=whl&qualifier=py2.py3-none-any:da7b920fc32c2777d63e
,,,Flask-Sockets:0.2.1:(.tar.gz),,Tusimple-bom.xml/pkg:pypi\flask-sockets@0.2.1?extension=tar.gz:85cfded02881b279bd5e
,,,Flask:(py2.py3-none-any):1.1.1:(.whl),sonatype-2020-0201,Tusimple-bom.xml/pkg:pypi\flask@1.1.1?extension=whl&qualifier=py2.py3-none-any:5052223bbb818d17941b
,,,Flask:1.1.1:(.tar.gz),sonatype-2020-0201,Tusimple-bom.xml/pkg:pypi\flask@1.1.1?extension=tar.gz:0be9b102a88130da4378
